음 식 명,식품중량,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),칼륨(mg),인(mg),나트륨(mg),포화지방산(g),콜레스테롤(mg)
명란젓,100g,147.0,3.98,17.96,6.54,0.0,199.0,293.0,2044.0,0.72,247.92
모래집튀김,150g,312.0,19.4,18.73,17.73,1.2,269.0,204.0,215.0,2.73,167.94
무나물,60ml,28.0,3.86,0.7,1.14,1.53,225.0,33.0,136.0,0.12,0.0
무말랭이,20g,121.0,22.5,4.2,1.55,4.1,405.0,87.0,450.0,1.25,1.95
무생채,150g,49.0,7.33,2.43,1.11,1.78,259.0,57.0,821.0,0.16,8.09
무장아찌,15.70,116.0,14.25,2.5,5.97,7.44,449.0,86.0,359.0,0.92,0.0
무지개떡,100g,229.0,53.01,3.53,0.31,8.99,32.0,41.0,277.0,0.16,0.0
무피클,50.0,17.0,4.192,0.404,0.052,1.992,108.32,11.56,6.6,,0.0
문어숙회,80.0,67.488,0.1824,14.136000000000005,0.7296,0.0,273.752,171.45600000000002,222.832,,116.736
문어초밥,245ml,189.0,28.65,10.0,3.14,2.45,129.0,131.0,394.0,0.9,63.44
물냉면,780ml,96.0,18.22,3.6,0.71,0.42,97.0,47.0,201.0,0.21,11.44
물만두,350ml,92.0,10.5,6.1,2.56,0.06,103.0,77.0,102.0,0.48,4.66
미꾸라지튀김,100g,387.0,28.85,10.89,25.39,0.3,173.0,438.0,324.0,3.89,50.15
미나리나물,50g,59.0,4.48,2.03,3.67,0.0,238.0,55.0,301.0,0.5,0.0
미나리전,150g,151.0,22.82,3.49,5.08,1.16,132.0,46.0,166.0,0.82,7.92
미소된장국,300ml,8.0,0.93,0.6,0.22,0.23,56.0,13.0,164.0,0.04,0.06
미역국,400g,12.0,0.87,0.65,0.61,0.27,81.0,14.0,168.0,0.05,0.0
미역오이냉국,270ml,13.0,2.91,0.7,0.21,1.84,124.0,15.0,338.0,0.04,0.0
미역초무침,50g,35.0,5.24,1.18,1.02,1.3,170.0,25.0,452.0,0.16,0.0
바지락조개국,320ml,17.0,0.74,2.2,0.51,0.11,28.0,29.0,222.0,0.09,1.25
배추겉절이,160ml,24.0,4.68,1.3,0.38,2.08,210.0,35.0,292.0,0.07,0.5
배추김치,100g,38.0,6.49,1.98,0.43,2.4,334.0,49.0,551.0,0.07,0.0
배추된장국,280ml,11.0,1.52,0.8,0.23,0.54,69.0,16.0,145.0,0.04,0.34
배추전,150g,160.0,23.68,3.44,5.78,3.35,121.0,52.0,218.0,0.92,4.82
백김치,100g,16.0,3.0,0.95,0.07,1.04,187.0,29.0,395.0,0.01,0.0
백설기,100g,230.0,50.4,3.71,1.45,0.11,31.0,36.0,211.0,0.12,0.0
버섯전,150g,160.0,10.8,7.02,9.91,1.83,256.0,136.0,209.0,1.53,66.73
버섯찌개,400g,42.0,3.85,3.68,1.3,1.1,164.0,56.0,323.0,0.33,4.14
보리밥,200g,161.0,36.77,2.9,0.24,2.57,28.0,34.0,4.0,0.1,0.0
볶음밥,350g,183.0,33.97,5.56,2.76,0.0,99.0,61.0,212.0,1.1,29.28
볶음우동,707ml,59.0,6.42,2.0,2.58,0.15,32.0,23.0,272.0,0.45,14.35
부대찌개,600g,123.0,10.27,5.86,6.49,0.18,170.0,86.0,239.0,1.68,11.05
부추김치,50g,47.0,6.36,2.68,1.16,4.08,435.0,44.0,761.0,0.1,0.0
부추전,150g,167.0,27.86,4.63,4.17,8.28,173.0,46.0,247.0,0.8,26.17
북어조림,100g,182.0,17.14,20.83,3.33,8.2,270.0,207.0,766.0,0.67,99.63
북어채무침,150g,188.0,12.05,28.4,2.91,5.59,652.0,357.0,756.0,0.51,110.75
불고기,200g,170.0,4.26,16.41,9.66,3.24,309.0,153.0,418.0,3.26,50.02
불고기덮밥,500.0,699.96,92.0921645,29.311298701,21.3995671,5.99,764.5,328.37000000000006,1182.88,,72.0
